Year | Année,NPRI ID | ID INRP,Company Name | Raison Sociale,Facility Name | Nom de l'installation,City | Ville,CSD | SDR,CA or CMA | AR ou RMR,Economic Region | Région économique,Province | Province,Latitude | Latitude,Longitude | Longitude,Substance Name (English) | Nom de substance (Anglais),Substance Name (French) | Nom de substance (Français),Units | Unités,Stack Emissions | Émissions de cheminées,Direct Discharge | Évacuations directes,Footnotes | Notes de bas de page
2020,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Elemental Tritium (HT),Tritium élémentaire,Bq,5.06E+12,NRM | NRS,
2020,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Tritium (HTO),Tritium (Eau tritiée),Bq,2.54E+13,1.08E+13,
2020,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Carbon-14,Carbone-14,Bq,2.61E+10,NRM | NRS,
2020,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Total noble gases,Total des gaz nobles,Bq-MeV,0.00E+00,NRM | NRS,
2020,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Iodine-131,Iode-131,Bq,2.44E+07,NRM | NRS,
2020,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Argon-41,Argon-41,Bq,0.00E+00,NRM | NRS,
2020,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Particulate gross alpha,Particules alpha brutes,Bq,NRM | NRS,2.40E+08,
2020,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Particulate gross beta,Particules bêta brutes,Bq,NRM | NRS,1.75E+10,
2020,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,0.0059,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
2020,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Tritium (HTO),Tritium (Eau tritiée),Bq,1.31E+10,4.91E+09,
2020,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Particulate gross alpha,Particules alpha brutes,Bq,9.98E+04,6.67E+07,
2020,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Particulate gross beta,Particules bêta brutes,Bq,2.13E+05,3.62E+08,
2020,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Uranium-total,Uranium total,Bq,NRM | NRS,1.30E+07,
2020,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Plutonium-239/240,Plutonium-239/240,Bq,NRM | NRS,3.94E+07,
2020,7434,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Whiteshell Laboratories,Pinawa,Pinawa,Division No. 1,Southeast / Sud-est,MB,50.1789,-96.0604,Plutonium-238,Plutonium-238,Bq,NRM | NRS,2.39E+07,
