_id,Year | Annee,NPRI ID | ID INRP,Company Name | Raison Sociale,Facility Name | Nom de l'installation,City | Ville,CSD | SDR,CA or CMA | AR ou RMR,Economic Region | Region economique,Province | Province,Latitude | Latitude,Longitude | Longitude,Substance Name (English) | Nom de substance (Anglais),Substance Name (French) | Nom de substance (Francais),Units | Unites,Stack Emissions | Emissions de cheminees,Direct Discharge | Evacuations directes,Footnotes | Notes de bas de page
1,2020,1445,Hydro-Québec,Gentilly-2,Bécancour,"","","",QC,46.3958,-72.3569,Tritium (HTO),Tritium (Eau tritiée),Bq,8.11E+13,1.97E+13,""
2,2020,1445,Hydro-Québec,Gentilly-2,Bécancour,"","","",QC,46.3958,-72.3569,Carbon-14,Carbone-14,Bq,8.18E+09,4.92E+07,""
3,2020,1445,Hydro-Québec,Gentilly-2,Bécancour,"","","",QC,46.3958,-72.3569,Total noble gases,Total des gaz nobles,Bq-MeV,LD,NRM | NRS,<LD = 0
4,2020,1445,Hydro-Québec,Gentilly-2,Bécancour,"","","",QC,46.3958,-72.3569,Iodine-131,Iode-131,Bq,LD,NRM | NRS,<LD = 0
5,2020,1445,Hydro-Québec,Gentilly-2,Bécancour,"","","",QC,46.3958,-72.3569,Particulate (gross beta/gamma),Particules (bêta brutes/gamma brutes),Bq,4.47E+05,1.65E+08,""
6,2020,1445,Hydro-Québec,Gentilly-2,Bécancour,"","","",QC,46.3958,-72.3569,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,0.001,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
7,2020,1710,New Brunswick Power Corporation,Point Lepreau Generating Station,Maces Bay,Musquash,Saint John,Saint John--St. Stephen,NB,45.0690,-66.4556,Tritium (HTO),Tritium (Eau tritiée),Bq,2.87E+14,4.61E+14,""
8,2020,1710,New Brunswick Power Corporation,Point Lepreau Generating Station,Maces Bay,Musquash,Saint John,Saint John--St. Stephen,NB,45.0690,-66.4556,Carbon-14,Carbone-14,Bq,1.60E+11,1.01E+09,""
9,2020,1710,New Brunswick Power Corporation,Point Lepreau Generating Station,Maces Bay,Musquash,Saint John,Saint John--St. Stephen,NB,45.0690,-66.4556,Total noble gases,Total des gaz nobles,Bq-MeV,3.21E+13,NRM | NRS,""
10,2020,1710,New Brunswick Power Corporation,Point Lepreau Generating Station,Maces Bay,Musquash,Saint John,Saint John--St. Stephen,NB,45.0690,-66.4556,Iodine-131,Iode-131,Bq,7.09E+06,1.42E+06,""
11,2020,1710,New Brunswick Power Corporation,Point Lepreau Generating Station,Maces Bay,Musquash,Saint John,Saint John--St. Stephen,NB,45.0690,-66.4556,Particulate (gross beta/gamma),Particules (bêta brutes/gamma brutes),Bq,2.00E+06,3.83E+07,""
12,2020,1710,New Brunswick Power Corporation,Point Lepreau Generating Station,Maces Bay,Musquash,Saint John,Saint John--St. Stephen,NB,45.0690,-66.4556,Particulate gross alpha,Particules alpha brutes,Bq,NRM | NRS,7.10E+06,""
13,2020,1710,New Brunswick Power Corporation,Point Lepreau Generating Station,Maces Bay,Musquash,Saint John,Saint John--St. Stephen,NB,45.0690,-66.4556,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,0.0013,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
14,2020,7041,Bruce Power LP,Bruce Power - A,Tiverton,Kincardine,"",Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Tritium (HTO),Tritium (Eau tritiée),Bq,3.4E+14,2.5E+14,""
15,2020,7041,Bruce Power LP,Bruce Power - A,Tiverton,Kincardine,"",Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Carbon-14,Carbone-14,Bq,1.6E+12,1.1E+09,""
16,2020,7041,Bruce Power LP,Bruce Power - A,Tiverton,Kincardine,"",Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Total noble gases,Total des gaz nobles,Bq-MeV,7.8E+13,NRM | NRS,""
17,2020,7041,Bruce Power LP,Bruce Power - A,Tiverton,Kincardine,"",Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Iodine-131,Iode-131,Bq,2.2E+07,NRM | NRS,""
