_id,Year | Annee,NPRI ID | ID INRP,Company Name | Raison Sociale,Facility Name | Nom de l'installation,City | Ville,CSD | SDR,CA or CMA | AR ou RMR,Economic Region | Region economique,Province | Province,Latitude | Latitude,Longitude | Longitude,Substance Name (English) | Nom de substance (Anglais),Substance Name (French) | Nom de substance (Francais),Units | Unites,Stack Emissions | Emissions de cheminees,Direct Discharge | Evacuations directes,Footnotes | Notes de bas de page
1,2020,1147,Cameco,Rabbit Lake,Saskatoon,,,,SK,58.1978,-103.7136,Uranium,Uranium,kg,NRM | NRS,80.3,
2,2020,1147,Cameco,Rabbit Lake,Saskatoon,,,,SK,58.1978,-103.7136,Thorium-230,Thorium-230,MBq,NRM | NRS,75.6,
3,2020,1147,Cameco,Rabbit Lake,Saskatoon,,,,SK,58.1978,-103.7136,Radium-226,Radium-226,MBq,NRM | NRS,24.0,
4,2020,1147,Cameco,Rabbit Lake,Saskatoon,,,,SK,58.1978,-103.7136,Lead-210,Plomb-210,MBq,NRM | NRS,75.6,
5,2020,1147,Cameco,Rabbit Lake,Saskatoon,,,,SK,58.1978,-103.7136,Polonium-210,Polonium-210,MBq,NRM | NRS,32.1,
6,2020,1148,Cameco,Key Lake,Saskatoon,,,,SK,57.2067,-105.6592,Uranium,Uranium,kg,NRM | NRS,32.1,
7,2020,1148,Cameco,Key Lake,Saskatoon,,,,SK,57.2067,-105.6592,Thorium-230,Thorium-230,MBq,NRM | NRS,77.0,
8,2020,1148,Cameco,Key Lake,Saskatoon,,,,SK,57.2067,-105.6592,Radium-226,Radium-226,MBq,NRM | NRS,44.1,
9,2020,1148,Cameco,Key Lake,Saskatoon,,,,SK,57.2067,-105.6592,Lead-210,Plomb-210,MBq,NRM | NRS,53.9,
10,2020,1148,Cameco,Key Lake,Saskatoon,,,,SK,57.2067,-105.6592,Polonium-210,Polonium-210,MBq,NRM | NRS,15.4,
11,2020,1149,Cameco,McArthur River,Saskatoon,,,,SK,57.7625,-105.0519,Uranium,Uranium,kg,NRM | NRS,20.0,
12,2020,1149,Cameco,McArthur River,Saskatoon,,,,SK,57.7625,-105.0519,Thorium-230,Thorium-230,MBq,NRM | NRS,25.2,
13,2020,1149,Cameco,McArthur River,Saskatoon,,,,SK,57.7625,-105.0519,Radium-226,Radium-226,MBq,NRM | NRS,158.5,
14,2020,1149,Cameco,McArthur River,Saskatoon,,,,SK,57.7625,-105.0519,Lead-210,Plomb-210,MBq,NRM | NRS,56.7,
15,2020,1149,Cameco,McArthur River,Saskatoon,,,,SK,57.7625,-105.0519,Polonium-210,Polonium-210,MBq,NRM | NRS,12.9,
16,2020,19397,Cameco,Cigar Lake,Saskatoon,,,,SK,58.0686,-104.5406,Uranium,Uranium,kg,NRM | NRS,0.1,
17,2020,19397,Cameco,Cigar Lake,Saskatoon,,,,SK,58.0686,-104.5406,Thorium-230,Thorium-230,MBq,NRM | NRS,3.7,
18,2020,19397,Cameco,Cigar Lake,Saskatoon,,,,SK,58.0686,-104.5406,Radium-226,Radium-226,MBq,NRM | NRS,2.5,
19,2020,19397,Cameco,Cigar Lake,Saskatoon,,,,SK,58.0686,-104.5406,Lead-210,Plomb-210,MBq,NRM | NRS,7.3,
20,2020,19397,Cameco,Cigar Lake,Saskatoon,,,,SK,58.0686,-104.5406,Polonium-210,Polonium-210,MBq,NRM | NRS,11.9,
21,2020,4866,Orano,McClean Lake,Saskatoon,,,,SK,58.2611,-103.8025,Uranium,Uranium,kg,NRM | NRS,4.9,
22,2020,4866,Orano,McClean Lake,Saskatoon,,,,SK,58.2611,-103.8025,Thorium-230,Thorium-230,MBq,NRM | NRS,15.6,
23,2020,4866,Orano,McClean Lake,Saskatoon,,,,SK,58.2611,-103.8025,Radium-226,Radium-226,MBq,NRM | NRS,15.9,
24,2020,4866,Orano,McClean Lake,Saskatoon,,,,SK,58.2611,-103.8025,Lead-210,Plomb-210,MBq,NRM | NRS,31.2,
25,2020,4866,Orano,McClean Lake,Saskatoon,,,,SK,58.2611,-103.8025,Polonium-210,Polonium-210,MBq,NRM | NRS,21.7,
26,2019,1147,Cameco,Rabbit Lake,Saskatoon,,,,SK,58.1978,-103.7136,Uranium,Uranium,kg,NRM | NRS,106.1,
27,2019,1147,Cameco,Rabbit Lake,Saskatoon,,,,SK,58.1978,-103.7136,Thorium-230,Thorium-230,MBq,NRM | NRS,78.6,
28,2019,1147,Cameco,Rabbit Lake,Saskatoon,,,,SK,58.1978,-103.7136,Radium-226,Radium-226,MBq,NRM | NRS,25.2,
