Year | Année,NPRI ID | ID INRP,Company Name | Raison Sociale,Facility Name | Nom de l'installation,City | Ville,CSD | SDR,CA or CMA | AR ou RMR,Economic Region | Région économique,Province | Province,Latitude | Latitude,Longitude | Longitude,Substance Name (English) | Nom de substance (Anglais),Substance Name (French) | Nom de substance (Français),Units | Unités,<,Stack Emissions | Émissions de cheminées,<,Direct Discharge | Évacuations directes,Footnotes | Notes de bas de page
2021,1445,Hydro-Québec,Gentilly-2,Bécancour,,,,QC,46.3958,-72.3569,Tritium (HTO),Tritium (Eau tritiée),Bq,,4.43E+13,,1.56E+14,
2021,1445,Hydro-Québec,Gentilly-2,Bécancour,,,,QC,46.3958,-72.3569,Carbon-14,Carbone-14,Bq,,6.17E+09,,6.07E+07,
2021,1445,Hydro-Québec,Gentilly-2,Bécancour,,,,QC,46.3958,-72.3569,Total noble gases,Total des gaz nobles,Bq-MeV,,NRM | NRS,,NRM | NRS,
2021,1445,Hydro-Québec,Gentilly-2,Bécancour,,,,QC,46.3958,-72.3569,Iodine-131,Iode-131,Bq,,NRM | NRS,,NRM | NRS,
2021,1445,Hydro-Québec,Gentilly-2,Bécancour,,,,QC,46.3958,-72.3569,Particulate (gross beta/gamma),Particules (bêta brutes/gamma brutes),Bq,,5.11E+05,,7.11E+07,
2021,1445,Hydro-Québec,Gentilly-2,Bécancour,,,,QC,46.3958,-72.3569,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,,0.001,,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
2021,1710,New Brunswick Power Corporation,Point Lepreau Generating Station,Maces Bay,Musquash,Saint John,Saint John--St. Stephen,NB,45.069,-66.4556,Tritium (HTO),Tritium (Eau tritiée),Bq,,2.70E+14,,8.20E+13,
2021,1710,New Brunswick Power Corporation,Point Lepreau Generating Station,Maces Bay,Musquash,Saint John,Saint John--St. Stephen,NB,45.069,-66.4556,Carbon-14,Carbone-14,Bq,,1.60E+11,,2.10E+09,
2021,1710,New Brunswick Power Corporation,Point Lepreau Generating Station,Maces Bay,Musquash,Saint John,Saint John--St. Stephen,NB,45.069,-66.4556,Total noble gases,Total des gaz nobles,Bq-MeV,,4.24E+13,,NRM | NRS,
2021,1710,New Brunswick Power Corporation,Point Lepreau Generating Station,Maces Bay,Musquash,Saint John,Saint John--St. Stephen,NB,45.069,-66.4556,Iodine-131,Iode-131,Bq,,3.40E+08,,2.50E+06,
2021,1710,New Brunswick Power Corporation,Point Lepreau Generating Station,Maces Bay,Musquash,Saint John,Saint John--St. Stephen,NB,45.069,-66.4556,Particulate (gross beta/gamma),Particules (bêta brutes/gamma brutes),Bq,,7.80E+06,,2.60E+07,
2021,1710,New Brunswick Power Corporation,Point Lepreau Generating Station,Maces Bay,Musquash,Saint John,Saint John--St. Stephen,NB,45.069,-66.4556,Particulate gross alpha,Particules alpha brutes,Bq,,NRM | NRS,,4.00E+06,
2021,1710,New Brunswick Power Corporation,Point Lepreau Generating Station,Maces Bay,Musquash,Saint John,Saint John--St. Stephen,NB,45.069,-66.4556,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,,0.00128,,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
2021,7041,Bruce Power LP,Bruce Power - A,Tiverton,Kincardine,,Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Tritium (HTO),Tritium (Eau tritiée),Bq,,8.10E+14,,2.80E+14,
