Year | Année,NPRI ID | ID INRP,Company Name | Raison Sociale,Facility Name | Nom de l'installation,City | Ville,CSD | SDR,CA or CMA | AR ou RMR,Economic Region | Région économique,Province | Province,Latitude | Latitude,Longitude | Longitude,Substance Name (English) | Nom de substance (Anglais),Substance Name (French) | Nom de substance (Français),Units | Unités,Stack Emissions | Émissions de cheminées,Direct Discharge | Évacuations directes,Footnotes | Notes de bas de page
2021,3657,Cameco,Blind River Refinery,Blind River,,,,ON,46.1814,-83.0177,Uranium,Uranium,kg,3.2,2.2,
2021,3657,Cameco,Blind River Refinery,Blind River,,,,ON,46.1814,-83.0177,Radium-226,Radium-226,MBq,NRM | NRS,2.2,
2021,3657,Cameco,Blind River Refinery,Blind River,,,,ON,46.1814,-83.0177,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,0.009,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
2021,1145,Cameco,Port Hope Conversion Facility,Port Hope,,,,ON,43.9437,-78.2954,Uranium,Uranium,kg,39,NRM | NRS,
2021,1145,Cameco,Port Hope Conversion Facility,Port Hope,,,,ON,43.9437,-78.2954,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,0.072,NRM | NRS,"Site 1, Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)"
2021,1145,Cameco,Port Hope Conversion Facility,Port Hope,,,,ON,43.9437,-78.2954,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,0.086,NRM | NRS,"Site 2, Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)"
2021,,Cameco,Cameco Fuel Manufacturing,Port Hope,,,,ON,43.9540,-78.2748,Uranium,Uranium,kg,0.89,NRM | NRS,
2021,,Cameco,Cameco Fuel Manufacturing,Port Hope,,,,ON,43.9540,-78.2748,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,0.372,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
2021,,BWXT Nuclear Energy Canada,BWXT - Toronto,Toronto,,,,ON,43.6680,-79.4468,Uranium,Uranium,kg,0.005,NRM | NRS,
2021,,BWXT Nuclear Energy Canada,BWXT - Toronto,Toronto,,,,ON,43.6680,-79.4468,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,0.0175,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
