,Year,Facility Name,Substance Name (English),Units,Stack Emissions,Direct Discharge
0,2013,Chalk River Laboratories,Argon-41,Bq,8460000000000000.0,0.0
1,2013,Chalk River Laboratories,Carbon-14,Bq,574000000000.0,0.0
2,2013,Chalk River Laboratories,Elemental Tritium (HT),Bq,1590000000000.0,0.0
3,2013,Chalk River Laboratories,Estimated public dose (see footnote),mSv/a,0.05914,0.0
4,2013,Chalk River Laboratories,Iodine-125,Bq,284000000.0,0.0
5,2013,Chalk River Laboratories,Iodine-131,Bq,138000000000.0,0.0
6,2013,Chalk River Laboratories,Particulate gross alpha,Bq,0.0,46800000.0
7,2013,Chalk River Laboratories,Particulate gross beta,Bq,0.0,3020000000.0
8,2013,Chalk River Laboratories,Strontium-90,Bq,0.0,15100000000.0
9,2013,Chalk River Laboratories,Total noble gases,Bq-MeV,1320000000000000.0,0.0
10,2013,Chalk River Laboratories,Tritium (HTO),Bq,246000000000000.0,2430000000000.0
11,2013,Chalk River Laboratories,Xenon-133,Bq,5720000000000000.0,0.0
12,2013,Douglas Point,Estimated public dose (see footnote),mSv/a,0.0013,0.0
13,2013,Douglas Point,Particulate gross beta,Bq,0.0,53100000.0
14,2013,Douglas Point,Tritium (HTO),Bq,159000000000.0,87300000000.0
15,2013,Nuclear Power Demonstration,Particulate gross beta,Bq,66300.0,976000.0
16,2013,Nuclear Power Demonstration,Tritium (HTO),Bq,68600000000.0,141000000000.0
17,2013,Port Granby Project,Radium-226,Bq,0.0,5000000.0
18,2013,Port Granby Project,Uranium,kg,0.0,49.2
19,2013,Port Hope Project,Radium-226,Bq,0.0,6200000.0
20,2013,Port Hope Project,Uranium,kg,0.0,25.4
21,2013,Whiteshell Laboratories,Cesium-137,Bq,0.0,64000000.0
22,2013,Whiteshell Laboratories,Particulate gross alpha,Bq,92400.0,114000000.0
23,2013,Whiteshell Laboratories,Particulate gross beta,Bq,229000.0,386000000.0
24,2013,Whiteshell Laboratories,Strontium-90,Bq,0.0,69700000.0
25,2013,Whiteshell Laboratories,Tritium (HTO),Bq,35200000000.0,0.0
26,2014,Chalk River Laboratories,Argon-41,Bq,9370000000000000.0,0.0
27,2014,Chalk River Laboratories,Carbon-14,Bq,869000000000.0,0.0
28,2014,Chalk River Laboratories,Elemental Tritium (HT),Bq,1370000000000.0,0.0
29,2014,Chalk River Laboratories,Estimated public dose (see footnote),mSv/a,0.06,0.0
30,2014,Chalk River Laboratories,Iodine-125,Bq,162000000.0,0.0
31,2014,Chalk River Laboratories,Iodine-131,Bq,206000000000.0,0.0
32,2014,Chalk River Laboratories,Particulate gross alpha,Bq,0.0,907000000.0
33,2014,Chalk River Laboratories,Particulate gross beta,Bq,0.0,262000000000.0
34,2014,Chalk River Laboratories,Strontium-90,Bq,0.0,226000000000.0
35,2014,Chalk River Laboratories,Total noble gases,Bq-MeV,2110000000000000.0,0.0
36,2014,Chalk River Laboratories,Tritium (HTO),Bq,260000000000000.0,30700000000000.0
37,2014,Chalk River Laboratories,Xenon-133,Bq,8680000000000000.0,0.0
38,2014,Douglas Point,Estimated public dose (see footnote),mSv/a,0.002,0.0
39,2014,Douglas Point,Particulate gross beta,Bq,0.0,63700000.0
40,2014,Douglas Point,Tritium (HTO),Bq,274000000000.0,51900000000.0
41,2014,Nuclear Power Demonstration,Estimated public dose (see footnote),mSv/a,0.01,0.0
42,2014,Nuclear Power Demonstration,Particulate gross beta,Bq,52700.0,6080000.0
43,2014,Nuclear Power Demonstration,Tritium (HTO),Bq,263000000000.0,96000000000.0
44,2014,Port Granby Project,Estimated public dose (see footnote),mSv/a,0.00383,0.0
45,2014,Port Granby Project,Radium-226,Bq,0.0,5400000.0
46,2014,Port Granby Project,Uranium,kg,0.0,36.7
47,2014,Port Hope Project,Estimated public dose (see footnote),mSv/a,0.02867,0.0
48,2014,Port Hope Project,Radium-226,Bq,0.0,7700000.0
49,2014,Port Hope Project,Uranium,kg,0.0,23.0
50,2014,Whiteshell Laboratories,Cesium-137,Bq,0.0,26600000.0
51,2014,Whiteshell Laboratories,Estimated public dose (see footnote),mSv/a,0.002,0.0
52,2014,Whiteshell Laboratories,Particulate gross alpha,Bq,88200.0,47600000.0
53,2014,Whiteshell Laboratories,Particulate gross beta,Bq,397000.0,93100000.0
54,2014,Whiteshell Laboratories,Strontium-90,Bq,0.0,66100000.0
55,2014,Whiteshell Laboratories,Tritium (HTO),Bq,34800000000.0,0.0
56,2015,Chalk River Laboratories,Argon-41,Bq,1.29e+16,0.0
57,2015,Chalk River Laboratories,Carbon-14,Bq,377000000000.0,0.0
58,2015,Chalk River Laboratories,Elemental Tritium (HT),Bq,4770000000000.0,0.0
59,2015,Chalk River Laboratories,Estimated public dose (see footnote),mSv/a,0.083,0.0
60,2015,Chalk River Laboratories,Iodine-125,Bq,344000000.0,0.0
61,2015,Chalk River Laboratories,Iodine-131,Bq,103000000000.0,0.0
62,2015,Chalk River Laboratories,Particulate gross alpha,Bq,0.0,694000000.0
63,2015,Chalk River Laboratories,Particulate gross beta,Bq,0.0,39600000000.0
64,2015,Chalk River Laboratories,Strontium-90,Bq,0.0,67000000000.0
65,2015,Chalk River Laboratories,Total noble gases,Bq-MeV,1200000000000000.0,0.0
66,2015,Chalk River Laboratories,Tritium (HTO),Bq,277000000000000.0,39400000000000.0
67,2015,Chalk River Laboratories,Xenon-133,Bq,4890000000000000.0,0.0
68,2015,Douglas Point,Estimated public dose (see footnote),mSv/a,0.0029,0.0
69,2015,Douglas Point,Particulate gross beta,Bq,0.0,73100000.0
70,2015,Douglas Point,Tritium (HTO),Bq,13300000000.0,42400000000.0
71,2015,Nuclear Power Demonstration,Estimated public dose (see footnote),mSv/a,0.01,0.0
72,2015,Nuclear Power Demonstration,Particulate gross beta,Bq,48100.0,4130000.0
73,2015,Nuclear Power Demonstration,Tritium (HTO),Bq,215000000000.0,66100000000.0
74,2015,Port Granby Project,Estimated public dose (see footnote),mSv/a,0.0084,0.0
75,2015,Port Granby Project,Radium-226,Bq,0.0,4600000.0
76,2015,Port Granby Project,Uranium,kg,0.0,29.0
77,2015,Port Hope Project,Estimated public dose (see footnote),mSv/a,0.09352,0.0
78,2015,Port Hope Project,Radium-226,Bq,0.0,4500000.0
79,2015,Port Hope Project,Uranium,kg,0.0,20.7
80,2015,Whiteshell Laboratories,Cesium-137,Bq,0.0,16500000.0
81,2015,Whiteshell Laboratories,Estimated public dose (see footnote),mSv/a,0.001,0.0
82,2015,Whiteshell Laboratories,Particulate gross alpha,Bq,97900.0,40800000.0
83,2015,Whiteshell Laboratories,Particulate gross beta,Bq,226000.0,228000000.0
84,2015,Whiteshell Laboratories,Strontium-90,Bq,0.0,39600000.0
85,2015,Whiteshell Laboratories,Tritium (HTO),Bq,98800000000.0,0.0
86,2016,Chalk River Laboratories,Argon-41,Bq,1.07e+16,0.0
87,2016,Chalk River Laboratories,Carbon-14,Bq,485000000000.0,0.0
88,2016,Chalk River Laboratories,Elemental Tritium (HT),Bq,2550000000000.0,0.0
89,2016,Chalk River Laboratories,Estimated public dose (see footnote),mSv/a,0.078,0.0
90,2016,Chalk River Laboratories,Iodine-125,Bq,291000000.0,0.0
91,2016,Chalk River Laboratories,Iodine-131,Bq,51700000000.0,0.0
92,2016,Chalk River Laboratories,Particulate gross alpha,Bq,0.0,660000000.0
93,2016,Chalk River Laboratories,Particulate gross beta,Bq,0.0,32200000000.0
94,2016,Chalk River Laboratories,Strontium-90,Bq,0.0,7300000000.0
95,2016,Chalk River Laboratories,Total noble gases,Bq-MeV,397000000000000.0,0.0
96,2016,Chalk River Laboratories,Tritium (HTO),Bq,245000000000000.0,35000000000000.0
97,2016,Chalk River Laboratories,Xenon-133,Bq,3120000000000000.0,0.0
98,2016,Douglas Point,Estimated public dose (see footnote),mSv/a,0.0016,0.0
99,2016,Douglas Point,Particulate gross alpha,Bq,1680.0,9000000.0
100,2016,Douglas Point,Particulate gross beta,Bq,19100.0,10500000.0
101,2016,Douglas Point,Tritium (HTO),Bq,159000000000.0,22300000000.0
102,2016,Nuclear Power Demonstration,Estimated public dose (see footnote),mSv/a,0.01,0.0
103,2016,Nuclear Power Demonstration,Particulate gross beta,Bq,43000.0,33300000.0
104,2016,Nuclear Power Demonstration,Tritium (HTO),Bq,253000000000.0,7910000000.0
105,2016,Port Granby Project,Estimated public dose (see footnote),mSv/a,0.00543,0.0
106,2016,Port Granby Project,Radium-226,Bq,0.0,2400000.0
107,2016,Port Granby Project,Uranium,kg,0.0,15.6
108,2016,Port Hope Project,Estimated public dose (see footnote),mSv/a,0.01195,0.0
109,2016,Port Hope Project,Radium-226,Bq,0.0,3300000.0
110,2016,Port Hope Project,Uranium,kg,0.0,19.3
111,2016,Whiteshell Laboratories,Cesium-137,Bq,0.0,12800000.0
112,2016,Whiteshell Laboratories,Estimated public dose (see footnote),mSv/a,7.5e-05,0.0
