,Year,Facility Name,Substance Name (English),Units,Stack Emissions,Direct Discharge
0,2013,BWXT - Peterborough,Estimated public dose (see footnote),mSv/a,0.0,0.0
1,2013,BWXT - Peterborough,Uranium,kg,1.3e-05,0.0
2,2013,BWXT - Toronto,Estimated public dose (see footnote),mSv/a,0.0006,0.0
3,2013,BWXT - Toronto,Uranium,kg,0.0104,0.0
4,2013,Blind River Refinery,Estimated public dose (see footnote),mSv/a,0.012,0.0
5,2013,Blind River Refinery,Radium-226,MBq,0.0,1.93
6,2013,Blind River Refinery,Uranium,kg,4.1,3.6
7,2013,Cameco Fuel Manufacturing,Estimated public dose (see footnote),mSv/a,0.013,0.0
8,2013,Cameco Fuel Manufacturing,Uranium,kg,0.51,0.0
9,2013,Nordion - Ottawa,Cobalt-60,GBq,0.005,0.0
10,2013,Nordion - Ottawa,Estimated public dose (see footnote),mSv/a,0.0195,0.0
11,2013,Nordion - Ottawa,Iodine-125,GBq,0.23,0.0
12,2013,Nordion - Ottawa,Iodine-131,GBq,0.39,0.0
13,2013,Nordion - Ottawa,Xenon-133,GBq,30700.0,0.0
14,2013,Nordion - Ottawa,Xenon-135,GBq,28200.0,0.0
15,2013,Nordion - Ottawa,Xenon-135m,GBq,43400.0,0.0
16,2013,Port Hope Conversion Facility,Estimated public dose (see footnote),mSv/a,0.021,0.0
17,2013,Port Hope Conversion Facility,Uranium,kg,68.4,0.0
18,2013,SRBT,Elemental Tritium (HT),GBq,61100.0,0.0
19,2013,SRBT,Estimated public dose (see footnote),mSv/a,0.0068,0.0
20,2013,SRBT,Tritium (HTO),GBq,17800.0,0.0
21,2014,BWXT - Peterborough,Estimated public dose (see footnote),mSv/a,0.0,0.0
22,2014,BWXT - Peterborough,Uranium,kg,3e-06,0.0
23,2014,BWXT - Toronto,Estimated public dose (see footnote),mSv/a,0.0055,0.0
24,2014,BWXT - Toronto,Uranium,kg,0.0109,0.0
25,2014,Blind River Refinery,Estimated public dose (see footnote),mSv/a,0.005,0.0
26,2014,Blind River Refinery,Radium-226,MBq,0.0,1.81
27,2014,Blind River Refinery,Uranium,kg,1.5,4.0
28,2014,Cameco Fuel Manufacturing,Estimated public dose (see footnote),mSv/a,0.018,0.0
29,2014,Cameco Fuel Manufacturing,Uranium,kg,0.41,0.0
30,2014,Nordion - Ottawa,Cobalt-60,GBq,0.005,0.0
31,2014,Nordion - Ottawa,Estimated public dose (see footnote),mSv/a,0.0214,0.0
32,2014,Nordion - Ottawa,Iodine-125,GBq,0.14,0.0
33,2014,Nordion - Ottawa,Iodine-131,GBq,0.46,0.0
34,2014,Nordion - Ottawa,Xenon-133,GBq,15000.0,0.0
35,2014,Nordion - Ottawa,Xenon-135,GBq,13100.0,0.0
36,2014,Nordion - Ottawa,Xenon-135m,GBq,18200.0,0.0
37,2014,Port Hope Conversion Facility,Estimated public dose (see footnote),mSv/a,0.012,0.0
38,2014,Port Hope Conversion Facility,Uranium,kg,33.4,0.0
39,2014,SRBT,Elemental Tritium (HT),GBq,54800.0,0.0
40,2014,SRBT,Estimated public dose (see footnote),mSv/a,0.0068,0.0
41,2014,SRBT,Tritium (HTO),GBq,10700.0,0.0
42,2015,BWXT - Peterborough,Estimated public dose (see footnote),mSv/a,0.0,0.0
43,2015,BWXT - Peterborough,Uranium,kg,3e-06,0.0
44,2015,BWXT - Toronto,Estimated public dose (see footnote),mSv/a,0.0101,0.0
45,2015,BWXT - Toronto,Uranium,kg,0.0108,0.0
46,2015,Blind River Refinery,Estimated public dose (see footnote),mSv/a,0.005,0.0
47,2015,Blind River Refinery,Radium-226,MBq,0.0,1.06
48,2015,Blind River Refinery,Uranium,kg,1.3,2.6
49,2015,Cameco Fuel Manufacturing,Estimated public dose (see footnote),mSv/a,0.025,0.0
50,2015,Cameco Fuel Manufacturing,Uranium,kg,0.46,0.0
51,2015,Nordion - Ottawa,Cobalt-60,GBq,0.005,0.0
52,2015,Nordion - Ottawa,Estimated public dose (see footnote),mSv/a,0.0095,0.0
53,2015,Nordion - Ottawa,Iodine-125,GBq,0.12,0.0
54,2015,Nordion - Ottawa,Iodine-131,GBq,0.15,0.0
55,2015,Nordion - Ottawa,Xenon-133,GBq,11900.0,0.0
56,2015,Nordion - Ottawa,Xenon-135,GBq,8240.0,0.0
57,2015,Nordion - Ottawa,Xenon-135m,GBq,10800.0,0.0
58,2015,Port Hope Conversion Facility,Estimated public dose (see footnote),mSv/a,0.006,0.0
59,2015,Port Hope Conversion Facility,Uranium,kg,38.7,0.0
60,2015,SRBT,Elemental Tritium (HT),GBq,44700.0,0.0
61,2015,SRBT,Estimated public dose (see footnote),mSv/a,0.0068,0.0
62,2015,SRBT,Tritium (HTO),GBq,11500.0,0.0
63,2016,BWXT - Peterborough,Estimated public dose (see footnote),mSv/a,0.0,0.0
64,2016,BWXT - Peterborough,Uranium,kg,4e-06,0.0
65,2016,BWXT - Toronto,Estimated public dose (see footnote),mSv/a,0.0007,0.0
66,2016,BWXT - Toronto,Uranium,kg,0.0108,0.0
67,2016,Blind River Refinery,Estimated public dose (see footnote),mSv/a,0.005,0.0
68,2016,Blind River Refinery,Radium-226,MBq,0.0,0.92
69,2016,Blind River Refinery,Uranium,kg,1.0,1.2
70,2016,Cameco Fuel Manufacturing,Estimated public dose (see footnote),mSv/a,0.023,0.0
71,2016,Cameco Fuel Manufacturing,Uranium,kg,0.73,0.0
72,2016,Nordion - Ottawa,Cobalt-60,GBq,0.006,0.0
73,2016,Nordion - Ottawa,Estimated public dose (see footnote),mSv/a,0.0021,0.0
74,2016,Nordion - Ottawa,Iodine-125,GBq,0.21,0.0
75,2016,Nordion - Ottawa,Iodine-131,GBq,0.35,0.0
76,2016,Nordion - Ottawa,Xenon-133,GBq,7280.0,0.0
77,2016,Nordion - Ottawa,Xenon-135,GBq,4300.0,0.0
78,2016,Nordion - Ottawa,Xenon-135m,GBq,5420.0,0.0
79,2016,Port Hope Conversion Facility,Estimated public dose (see footnote),mSv/a,0.02,0.0
