,Year,Facility Name,Substance Name (English),Units,Stack Emissions,Direct Discharge
0,2011,Bruce Power - A,Carbon-14,Bq,1360000000000.0,1700000000.0
1,2011,Bruce Power - A,Iodine-131,Bq,35800000.0,0.0
2,2011,Bruce Power - A,Particulate (gross beta/gamma),Bq,7060000.0,629000000.0
3,2011,Bruce Power - A,Particulate gross alpha,Bq,599000.0,1010000.0
4,2011,Bruce Power - A,Total noble gases,Bq-MeV,66800000000000.0,0.0
5,2011,Bruce Power - A,Tritium (HTO),Bq,600000000000000.0,295000000000000.0
6,2011,Bruce Power - B,Carbon-14,Bq,1440000000000.0,2820000000.0
7,2011,Bruce Power - B,Iodine-131,Bq,41900000.0,0.0
8,2011,Bruce Power - B,Particulate (gross beta/gamma),Bq,50700000.0,2380000000.0
9,2011,Bruce Power - B,Particulate gross alpha,Bq,17800000.0,1480000.0
10,2011,Bruce Power - B,Total noble gases,Bq-MeV,3640000000000.0,0.0
11,2011,Bruce Power - B,Tritium (HTO),Bq,717000000000000.0,510000000000000.0
12,2011,Bruce Power Site,Estimated public dose (see footnote),mSv/a,0.0011,0.0
13,2011,Darlington Nuclear,Carbon-14,Bq,1000000000000.0,1900000000.0
14,2011,Darlington Nuclear,Elemental Tritium (HT),Bq,88000000000000.0,0.0
15,2011,Darlington Nuclear,Estimated public dose (see footnote),mSv/a,0.0006,0.0
16,2011,Darlington Nuclear,Iodine-131,Bq,150000000.0,0.0
17,2011,Darlington Nuclear,Particulate (gross beta/gamma),Bq,40000000.0,31000000000.0
18,2011,Darlington Nuclear,Particulate gross alpha,Bq,0.0,1100000.0
19,2011,Darlington Nuclear,Total noble gases,Bq-MeV,22000000000000.0,0.0
20,2011,Darlington Nuclear,Tritium (HTO),Bq,140000000000000.0,110000000000000.0
21,2011,Gentilly-2,Carbon-14,Bq,271000000000.0,18800000000.0
22,2011,Gentilly-2,Estimated public dose (see footnote),mSv/a,0.0015,0.0
23,2011,Gentilly-2,Iodine-131,Bq,0.0,0.0
24,2011,Gentilly-2,Particulate (gross beta/gamma),Bq,913000.0,5340000000.0
25,2011,Gentilly-2,Total noble gases,Bq-MeV,116000000000.0,0.0
26,2011,Gentilly-2,Tritium (HTO),Bq,190000000000000.0,244000000000000.0
27,2011,Pickering Nuclear - A & B,Carbon-14,Bq,1770000000000.0,2200000000.0
28,2011,Pickering Nuclear - A & B,Estimated public dose (see footnote),mSv/a,0.0009,0.0
29,2011,Pickering Nuclear - A & B,Iodine-131,Bq,23800000.0,0.0
30,2011,Pickering Nuclear - A & B,Particulate (gross beta/gamma),Bq,11800000.0,19100000000.0
31,2011,Pickering Nuclear - A & B,Particulate gross alpha,Bq,0.0,48000000.0
32,2011,Pickering Nuclear - A & B,Total noble gases,Bq-MeV,183000000000000.0,0.0
33,2011,Pickering Nuclear - A & B,Tritium (HTO),Bq,550000000000000.0,320000000000000.0
34,2011,Point Lepreau Generating Station,Carbon-14,Bq,28000000000.0,38000000.0
35,2011,Point Lepreau Generating Station,Estimated public dose (see footnote),mSv/a,0.0003,0.0
36,2011,Point Lepreau Generating Station,Iodine-131,Bq,0.0,0.0
37,2011,Point Lepreau Generating Station,Particulate (gross beta/gamma),Bq,0.0,82000000.0
38,2011,Point Lepreau Generating Station,Particulate gross alpha,Bq,0.0,5800000.0
39,2011,Point Lepreau Generating Station,Total noble gases,Bq-MeV,0.0,0.0
40,2011,Point Lepreau Generating Station,Tritium (HTO),Bq,45000000000000.0,34000000000000.0
41,2012,Bruce Power - A,Carbon-14,Bq,2300000000000.0,537000000.0
42,2012,Bruce Power - A,Iodine-131,Bq,218000000.0,0.0
43,2012,Bruce Power - A,Particulate (gross beta/gamma),Bq,7450000.0,579000000.0
44,2012,Bruce Power - A,Particulate gross alpha,Bq,640000.0,1600000.0
45,2012,Bruce Power - A,Total noble gases,Bq-MeV,68200000000000.0,0.0
46,2012,Bruce Power - A,Tritium (HTO),Bq,450000000000000.0,140000000000000.0
47,2012,Bruce Power - B,Carbon-14,Bq,1160000000000.0,4630000000.0
48,2012,Bruce Power - B,Iodine-131,Bq,41300000.0,0.0
49,2012,Bruce Power - B,Particulate (gross beta/gamma),Bq,18000000.0,3350000000.0
50,2012,Bruce Power - B,Particulate gross alpha,Bq,438000.0,1110000.0
51,2012,Bruce Power - B,Total noble gases,Bq-MeV,3640000000000.0,0.0
52,2012,Bruce Power - B,Tritium (HTO),Bq,326000000000000.0,1140000000000000.0
53,2012,Bruce Power Site,Estimated public dose (see footnote),mSv/a,0.0012,0.0
54,2012,Darlington Nuclear,Carbon-14,Bq,1000000000000.0,6300000000.0
55,2012,Darlington Nuclear,Elemental Tritium (HT),Bq,26000000000000.0,0.0
56,2012,Darlington Nuclear,Estimated public dose (see footnote),mSv/a,0.0006,0.0
57,2012,Darlington Nuclear,Iodine-131,Bq,140000000.0,0.0
58,2012,Darlington Nuclear,Particulate (gross beta/gamma),Bq,34000000.0,30000000000.0
59,2012,Darlington Nuclear,Particulate gross alpha,Bq,0.0,900000.0
60,2012,Darlington Nuclear,Total noble gases,Bq-MeV,19000000000000.0,0.0
61,2012,Darlington Nuclear,Tritium (HTO),Bq,130000000000000.0,130000000000000.0
62,2012,Gentilly-2,Carbon-14,Bq,441000000000.0,28800000000.0
63,2012,Gentilly-2,Estimated public dose (see footnote),mSv/a,0.005,0.0
64,2012,Gentilly-2,Iodine-131,Bq,8320000.0,0.0
65,2012,Gentilly-2,Particulate (gross beta/gamma),Bq,1790000.0,1090000000.0
66,2012,Gentilly-2,Total noble gases,Bq-MeV,387000000000.0,0.0
67,2012,Gentilly-2,Tritium (HTO),Bq,209000000000000.0,352000000000000.0
68,2012,Pickering Nuclear - A & B,Carbon-14,Bq,1820000000000.0,11000000000.0
69,2012,Pickering Nuclear - A & B,Estimated public dose (see footnote),mSv/a,0.0011,0.0
70,2012,Pickering Nuclear - A & B,Iodine-131,Bq,17600000.0,0.0
71,2012,Pickering Nuclear - A & B,Particulate (gross beta/gamma),Bq,8100000.0,30000000000.0
72,2012,Pickering Nuclear - A & B,Particulate gross alpha,Bq,0.0,7700000.0
73,2012,Pickering Nuclear - A & B,Total noble gases,Bq-MeV,129000000000000.0,0.0
74,2012,Pickering Nuclear - A & B,Tritium (HTO),Bq,540000000000000.0,290000000000000.0
75,2012,Point Lepreau Generating Station,Carbon-14,Bq,37000000000.0,14000000000.0
76,2012,Point Lepreau Generating Station,Estimated public dose (see footnote),mSv/a,0.0006,0.0
77,2012,Point Lepreau Generating Station,Iodine-131,Bq,0.0,0.0
78,2012,Point Lepreau Generating Station,Particulate (gross beta/gamma),Bq,0.0,72000000.0
79,2012,Point Lepreau Generating Station,Particulate gross alpha,Bq,0.0,6500000.0
80,2012,Point Lepreau Generating Station,Total noble gases,Bq-MeV,800000000000.0,0.0
81,2012,Point Lepreau Generating Station,Tritium (HTO),Bq,140000000000000.0,780000000000000.0
82,2013,Bruce Power - A,Carbon-14,Bq,2530000000000.0,995000000.0
83,2013,Bruce Power - A,Iodine-131,Bq,49400000.0,0.0
