,Year,Facility Name,Substance Name (English),Units,Direct Discharge
0,2021,Rabbit Lake,Uranium,kg,68.9
1,2021,Rabbit Lake,Thorium-230,MBq,57.5
2,2021,Rabbit Lake,Radium-226,MBq,22.6
3,2021,Rabbit Lake,Lead-210,MBq,76.6
4,2021,Rabbit Lake,Polonium-210,MBq,43.1
5,2021,Key Lake,Uranium,kg,49.1
6,2021,Key Lake,Thorium-230,MBq,23.7
7,2021,Key Lake,Radium-226,MBq,42.1
8,2021,Key Lake,Lead-210,MBq,27.2
9,2021,Key Lake,Polonium-210,MBq,35.5
10,2021,McArthur River,Uranium,kg,18.5
11,2021,McArthur River,Thorium-230,MBq,26.2
12,2021,McArthur River,Radium-226,MBq,106.7
13,2021,McArthur River,Lead-210,MBq,56.1
14,2021,McArthur River,Polonium-210,MBq,14.7
15,2021,Cigar Lake,Uranium,kg,0.0
16,2021,Cigar Lake,Thorium-230,MBq,3.5
17,2021,Cigar Lake,Radium-226,MBq,2.3
18,2021,Cigar Lake,Lead-210,MBq,7.7
19,2021,Cigar Lake,Polonium-210,MBq,3.5
20,2021,McClean Lake,Uranium,kg,10.2
21,2021,McClean Lake,Thorium-230,MBq,18.1
22,2021,McClean Lake,Radium-226,MBq,17.8
23,2021,McClean Lake,Lead-210,MBq,34.3
24,2021,McClean Lake,Polonium-210,MBq,20.2
25,2020,Rabbit Lake,Uranium,kg,80.3
26,2020,Rabbit Lake,Thorium-230,MBq,75.6
27,2020,Rabbit Lake,Radium-226,MBq,24.0
28,2020,Rabbit Lake,Lead-210,MBq,75.6
29,2020,Rabbit Lake,Polonium-210,MBq,32.1
30,2020,Key Lake,Uranium,kg,32.1
31,2020,Key Lake,Thorium-230,MBq,77.0
32,2020,Key Lake,Radium-226,MBq,44.1
33,2020,Key Lake,Lead-210,MBq,53.9
34,2020,Key Lake,Polonium-210,MBq,15.4
35,2020,McArthur River,Uranium,kg,20.0
36,2020,McArthur River,Thorium-230,MBq,25.2
37,2020,McArthur River,Radium-226,MBq,158.5
38,2020,McArthur River,Lead-210,MBq,56.7
39,2020,McArthur River,Polonium-210,MBq,12.9
40,2020,Cigar Lake,Uranium,kg,0.1
41,2020,Cigar Lake,Thorium-230,MBq,3.7
42,2020,Cigar Lake,Radium-226,MBq,2.5
43,2020,Cigar Lake,Lead-210,MBq,7.3
44,2020,Cigar Lake,Polonium-210,MBq,11.9
45,2020,McClean Lake,Uranium,kg,4.9
46,2020,McClean Lake,Thorium-230,MBq,15.6
47,2020,McClean Lake,Radium-226,MBq,15.9
48,2020,McClean Lake,Lead-210,MBq,31.2
49,2020,McClean Lake,Polonium-210,MBq,21.7
50,2019,Rabbit Lake,Uranium,kg,106.1
51,2019,Rabbit Lake,Thorium-230,MBq,78.6
52,2019,Rabbit Lake,Radium-226,MBq,25.2
53,2019,Rabbit Lake,Lead-210,MBq,196.6
